Africa,Europe
Morocco,Finland
Ghana,Denmark
Ivory Coast,Norway
Gambia,Iceland
Kenya,Netherlands
Mauritania,Switzerland
Mozambique,Sweden
Tunisia,Austria
South Africa,Luxembourg
Senegal,United Kingdom
Somalia,Ireland
Namibia,Germany
Niger,Belgium
Burkina Faso,Czech Republic
Guinea,Malta
Mali,France
Sierra Leone,Spain
Swaziland,Italy
Uganda,Slovakia
Egypt,Poland
Zambia,Lithuania
Togo,Slovenia
Liberia,Latvia
Madagascar,Cyprus
Lesotho,Romania
Burundi,Estonia
Zimbabwe,Portugal
Malawi,Russia
Tanzania,Serbia
Central African Republic,Croatia
South Sudan,Bosnia and Herzegovina
Mauritius,Turkey
Libya,Greece
Nigeria,Northern Cyprus
Cameroon,Kosovo
Congo (Brazzaville),Hungary
Gabon,Montenegro
Benin,Belarus
Congo (Kinshasa),Albania
Chad,Moldova
Ethiopia,Kazakhstan
Rwanda,Azerbaijan
,North Macedonia
,Armenia
,Ukraine
